"","Start_year","End_year","Region","Region_alt","Region_type","Strata_included","Strata_excluded","Trend","Trend_Q0.025","Trend_Q0.05","Trend_Q0.25","Trend_Q0.75","Trend_Q0.95","Trend_Q0.975","Percent_Change","Percent_Change_Q0.025","Percent_Change_Q0.05","Percent_Change_Q0.25","Percent_Change_Q0.75","Percent_Change_Q0.95","Percent_Change_Q0.975"
"11",2002,2012,"NB","New Brunswick","prov_state","CA-NB-14","",-1.91613815391151,-7.68411852486427,-6.5927993452083,-3.61774972188683,-0.418106644042704,1.74900844990788,2.43583325821364,0.824091755738464,-55.046427709654,-49.4404068264186,-30.8215833893664,-4.10327120899348,18.9328585029875,27.2093534941799
"12",2002,2012,"NC","NORTH CAROLINA","prov_state","US-NC-27 ; US-NC-28 ; US-NC-29","",-0.20966944978193,-4.81994117074113,-4.01155700699463,-1.68918988111483,1.38134431301393,4.13381005831345,5.03502254737297,0.979229778741401,-38.9817582887827,-33.5967292548109,-15.6640485200964,14.7045001066574,49.9400282032964,63.4335935615447
"13",2002,2012,"NH","NEW HAMPSHIRE","prov_state","US-NH-14 ; US-NH-30","",-1.51225176290902,-7.13688854257017,-6.15519141022338,-3.24971845921169,0.0589612677991402,2.54378089174053,3.46801394388689,0.858661679153803,-52.3094523206877,-47.0211498126609,-28.1341817404764,0.59117953503951,28.556269889926,40.6245449048788
"14",2002,2012,"NSPE",NA,"prov_state","CA-NSPE-14","",-12.731518186261,-21.6365888262027,-20.1929620082669,-15.676485846034,-9.87340717385933,-5.79385918298322,-4.50943262666127,0.25619709876871,-91.267605912893,-89.5187778792664,-81.8244746268716,-64.6385934136154,-44.9455875477388,-36.9616644009967
"15",2002,2012,"NY","NEW YORK","prov_state","US-NY-13 ; US-NY-14 ; US-NY-28 ; US-NY-30","",2.70780982635295,-2.22928980073109,-1.42468402438675,0.887595012282061,4.77576552956914,8.03875261982943,9.20573476709961,1.30627520437458,-20.1844154164544,-13.367314243883,9.23899431304984,59.4440902515672,116.668418438785,141.242851164568
"16",2002,2012,"ON","Ontario","prov_state","CA-ON-12 ; CA-ON-13 ; CA-ON-8","",1.05208848357979,-5.50352345924519,-4.23692135819233,-1.02811637726109,3.52879539143955,7.80789224878542,9.28674589104359,1.11033220547139,-43.2251291622402,-35.1393949147521,-9.81831244706756,41.4528197658989,112.082850720914,143.038429309252
"17",2002,2012,"PA","PENNSYLVANIA","prov_state","US-PA-13 ; US-PA-28 ; US-PA-29","",-1.56369463691988,-5.80053549624885,-5.04519130096047,-2.88911328555056,-0.280041895634317,1.55602230386442,2.19374398871408,0.8541871787476,-44.9845916669705,-40.410515022206,-25.4102422605504,-2.76539064352931,16.6962292283862,24.2347537147572
"18",2002,2012,"QC","Quebec","prov_state","CA-QC-12 ; CA-QC-13 ; CA-QC-14 ; CA-QC-3 ; CA-QC-8","CA-QC-8",-1.66775987617346,-7.18461704198339,-6.29453026530973,-3.52733778277494,0.168816057612586,2.85353398206769,3.77222187660627,0.845199692019245,-52.5539994796144,-47.8025338863563,-30.1699049960625,1.70104296892024,32.4927712315429,44.814202069908
"19",2002,2012,"SK","Saskatchewan","prov_state","CA-SK-11 ; CA-SK-6 ; CA-SK-8","",-0.0671336934615907,-9.98296371134813,-7.54761947930589,-2.44124866334799,2.57336584239093,9.39037974102796,12.8539767347977,0.993306875586852,-65.0660976532032,-54.3773001420048,-21.897968200826,28.9276500765021,145.35296145299,235.095560737392
"20",2002,2012,"VT","VERMONT","prov_state","US-VT-13 ; US-VT-14","",-5.01999338717006,-19.2857055091856,-16.3883331390907,-9.28755441791947,-1.82048815891728,1.91514490291345,3.13944945448156,0.597478049900984,-88.2644202157916,-83.3018324270824,-62.2715678113321,-16.7836459580161,20.8891330123266,36.2222623813329
"21",2002,2012,"WI","WISCONSIN","prov_state","US-WI-12 ; US-WI-22 ; US-WI-23","",-0.918251099063522,-5.58252037011322,-4.74990087255833,-2.36772781682344,0.522982055663934,2.69186274349619,3.51254382182201,0.911877788974693,-43.6979727811763,-38.5312525971165,-21.3073868707053,5.35463246225962,30.4248412866882,41.2309288056488
"22",2002,2012,"WV","WEST VIRGINIA","prov_state","US-WV-28","",0.71596807171127,-5.98466033783559,-4.41892641076894,-1.24406287464981,3.08008253090419,7.84366320871266,9.72210974641389,1.07394815169009,-46.0505285448352,-36.3616306087672,-11.7667766659351,35.4401967457031,112.7875992153,152.89573100274
"23",2002,2012,"6","BCR_6","bcr","CA-AB-6 ; CA-BC-6 ; CA-MB-6 ; CA-NT-6 ; CA-SK-6 ; CA-YT-6","",-0.801730960752317,-5.33770665731021,-4.4579057377578,-2.25768443728255,0.679517334070856,3.08594836043383,4.03451922612811,0.922658399992904,-42.2209738887525,-36.6206812200798,-20.4159136754134,7.00676835540857,35.5172896080767,48.5164794108791
"24",2002,2012,"8","BCR_8","bcr","CA-AB-8 ; CA-MB-8 ; CA-NL-8 ; CA-ON-8 ; CA-QC-8 ; CA-SK-8","CA-QC-8",0.478532198748949,-6.2429748642861,-5.00775576432066,-1.66539424887105,3.01781974877396,7.35599447793373,8.84413814462679,1.04889694912713,-47.5146388975576,-40.1751687746996,-15.4596951780976,34.6243264126359,103.358810724435,133.372914001668
"25",2002,2012,"28","BCR_28","bcr","US-AL-28 ; US-CT-28 ; US-GA-28 ; US-KY-28 ; US-MA-28 ; US-MD-28 ; US-NC-28 ; US-NJ-28 ; US-NY-28 ; US-OH-28 ; US-PA-28 ; US-SC-28 ; US-TN-28 ; US-VA-28 ; US-WV-28","",-0.750516160358439,-3.6917468655877,-3.16900346298571,-1.72937033676043,0.248890556176129,1.73247549765744,2.24249866106995,0.927433049973087,-31.3508671255744,-27.5323773508364,-16.0081034568842,2.51696731395459,18.739748557889,24.8287279741898
"26",2002,2012,"14","BCR_14","bcr","US-CT-14 ; US-MA-14 ; US-ME-14 ; CA-NB-14 ; US-NH-14 ; CA-NSPE-14 ; US-NY-14 ; CA-QC-14 ; US-VT-14","",-2.66621145181999,-5.69848698799212,-5.15669307994668,-3.66839882653569,-1.69799183833295,-0.369902911607708,0.083753857952005,0.763196339496148,-44.385682971994,-41.1065654721455,-31.1842591590457,-15.7395257750537,-3.63805988510942,0.840702389135606
"27",2002,2012,"30","BCR_30","bcr","US-CT-30 ; US-DE-30 ; US-MA-30 ; US-MD-30 ; US-ME-30 ; US-NH-30 ; US-NJ-30 ; US-NY-30 ; US-RI-30 ; US-VA-30","",-2.85743090269013,-25.62746129364,-20.4171057450029,-7.62938476322318,-0.0155582110054842,4.62503989385687,6.82816127980855,0.748334640650091,-94.8224289912583,-89.8094562286633,-54.7791873539828,-0.155473169463016,57.1651923132776,93.5786844390705
"28",2002,2012,"12","BCR_12","bcr","CA-MB-12 ; US-MI-12 ; US-MN-12 ; CA-ON-12 ; CA-QC-12 ; US-WI-12","",0.769338951812104,-2.19206420182613,-1.75267695220792,-0.294339266197788,1.88876502572305,3.55127159639708,4.15181219271251,1.07965275160378,-19.8800012735575,-16.2070926096066,-2.90471106389103,20.5765858920997,41.7602150724056,50.1994383655181
"29",2002,2012,"13","BCR_13","bcr","US-NY-13 ; US-OH-13 ; CA-ON-13 ; US-PA-13 ; CA-QC-13 ; US-VT-13","",-0.408947022962786,-5.17348840839756,-4.2744406683945,-1.89141343402526,1.11768608993138,3.61839888026743,4.49917479221065,0.95984971881376,-41.2107738636255,-35.3930667632307,-17.3828534295321,11.7560979000219,42.6818635097111,55.2846793434231
