"","Start_year","End_year","Region","Trend","Trend_Q0.025","Trend_Q0.05","Trend_Q0.25","Trend_Q0.75","Trend_Q0.95","Trend_Q0.975","Percent_Change","Percent_Change_Q0.025","Percent_Change_Q0.05","Percent_Change_Q0.25","Percent_Change_Q0.75","Percent_Change_Q0.95","Percent_Change_Q0.975","Slope_Trend","Slope_Trend_Q0.025","Slope_Trend_Q0.05","Slope_Trend_Q0.25","Slope_Trend_Q0.75","Slope_Trend_Q0.95","Slope_Trend_Q0.975"
"1",2002,2012,"Continental",-0.101213333498712,-3.22401878699352,-2.64563561531259,-1.1144315694537,0.951933505770836,2.60978022976236,3.18420754460676,0.989924641169441,-27.9430569893812,-23.5188769274721,-10.6017240156586,9.93764077831023,29.3860856879958,36.8145641813816,-0.489040636177696,-3.09727637376005,-2.62473272497977,-1.32723950555421,0.350057338986604,1.56873071241843,1.99454917529371
"2",2002,2012,"CA-AB-6",-2.16533375996987,-9.91383923499481,-8.51412934106619,-4.49241798092153,-0.0618475141635266,3.33111293200401,4.80489324884613,-19.6607676578041,-64.7969097948135,-58.9285291955452,-36.8492517072374,-0.616756567456145,38.7749471335638,59.8879005720632,-2.46276898034464,-9.23831412097577,-7.97969563492467,-4.52082819366445,-0.672081511521874,1.79637132971346,2.66949865126047
"3",2002,2012,"CA-MB-6",0.17748789972577,-5.1512051315669,-4.03262685400403,-1.49799894684571,2.04759032456001,5.65905054578013,7.10772916396729,1.78912218292413,-41.0724789139663,-33.7423431880473,-14.009488528627,22.4693861346879,73.4071649239981,98.7046898588288,-0.0417953228879719,-4.56907184336151,-3.76235437331694,-1.48248895417868,1.52539654179216,4.32433100393155,5.32402293621258
"4",2002,2012,"CA-MB-8",-0.653812122026032,-7.56322023859687,-6.14287455451579,-2.61991296777644,1.3935900737447,5.56016005075053,7.54432966519204,-6.34907533131583,-54.4542272655014,-46.951575492998,-23.3165606008442,14.8431259682464,71.7909982473624,106.954641614337,-1.09692380510026,-7.56872010014577,-6.2943988077874,-2.91236264063149,0.585719310612176,3.42558297932369,4.59500076019448
"5",2002,2012,"CA-NB-14",-1.91613815391151,-7.68411852486427,-6.5927993452083,-3.61774972188683,-0.418106644042704,1.74900844990788,2.43583325821364,-17.5908244261536,-55.046427709654,-49.4404068264186,-30.8215833893664,-4.10327120899348,18.9328585029875,27.2093534941799,-1.32795394780724,-5.79934800949495,-5.01195019908706,-2.71695537000176,-0.023379831003853,1.98554145385104,2.6911197424432
"6",2002,2012,"CA-NSPE-14",-12.731518186261,-21.6365888262027,-20.1929620082669,-15.676485846034,-9.87340717385933,-5.79385918298322,-4.50943262666127,-74.380290123129,-91.267605912893,-89.5187778792664,-81.8244746268716,-64.6385934136154,-44.9455875477388,-36.9616644009967,-7.96209166616278,-14.7750758513043,-13.6040712758812,-10.2508149293553,-5.70406765982664,-2.52967783776791,-1.43625858647981
"7",2002,2012,"CA-ON-12",1.59900536058913,-2.41191001570067,-1.81375948740484,0.0622962688319961,3.39604283350276,6.3731159829028,7.58800590044219,17.1910817095209,-21.6627755517969,-16.7265965535954,0.624711964942914,39.6494333903974,85.4892785425493,107.796668854821,1.15928730908628,-2.45254424021775,-1.90517422699098,-0.204501426066039,2.68544970394328,5.21010384889694,6.13688231758756
"8",2002,2012,"CA-ON-13",0.201614361918145,-6.20773318774718,-4.82417741766029,-1.69823660301605,2.35288171694537,6.70404737485743,8.3356251844059,2.03453411415953,-47.3170212516742,-39.0089106772765,-15.7416236882595,26.1829702467145,91.3413919786541,122.696268007785,0.392937198817189,-4.44052358434174,-3.54973788193385,-1.22984509079311,2.35363411974659,6.110714602111,7.4807929840958
"9",2002,2012,"CA-ON-8",0.804066818130711,-7.37561368902732,-5.86200605895513,-1.84480756954339,4.09161599722996,10.2246334876052,12.5519168261796,8.33793055325183,-53.5213573981549,-45.3425461728883,-16.9895461832982,49.3335911630466,164.719926858267,226.233802172559,-2.03312944250904,-9.69043032433963,-8.28515113367793,-4.36522197540891,0.0504455248054037,3.25178753793137,4.47184826171508
"10",2002,2012,"CA-QC-12",-1.79353255743461,-8.89477954442942,-7.74647327494247,-4.18524078917677,0.525403574746608,3.84991514309464,5.08775827012935,-16.5548893932237,-60.6057684041839,-55.3491453215203,-34.7885097229914,5.38001430922008,45.9020722192249,64.2560133028475,2.87982351166742,-1.92734854572445,-1.2264977140591,1.13699148326206,4.72104602770678,7.6014983912264,8.60211030032089
"11",2002,2012,"CA-QC-13",-0.547721635858961,-7.56618650095449,-6.07537645025868,-2.49446578519333,1.49101901920098,5.58114908926006,7.45430455690535,-5.34416982787271,-54.4688406177378,-46.5688365567494,-22.3229612559863,15.9514358201608,72.1328848774796,105.22873944064,-0.709176713031173,-6.54973337050019,-5.34690883719666,-2.41964817942913,1.03943612662605,4.07267441921771,5.33549178073576
"12",2002,2012,"CA-QC-14",-1.2234657526091,-7.81649995971996,-6.50945088955789,-3.11074758058259,0.559823051466646,3.57829200093888,4.73100927702716,-11.5825794388448,-55.6869201684956,-48.9874414929031,-27.0952122572085,5.74138753679336,42.1305552201434,58.7643128169212,-1.07005439570931,-6.69021388520863,-5.64543287886979,-2.70842564492931,0.487404334349206,3.15680194047415,4.14175491902705
